etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
0      | #ˈaː# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
1      | #ˌabellˈoːnam# | *#aellˈona# | *#aelˈunə# | *#aelˈunə# {GOLD: #alˈunə#}
2      | #ˈad# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
3      | #ˌadˌakwˈaː# | *#adapˈa# | *#adəpˈa# | *#adəpˈa# {GOLD: #adəpˈa#}
4      | #ˌadˌappˈositum# | *#adapˈosetu# | *#adəpo̯ˈasetu# | *#adəpo̯ˈaset# {GOLD: #adəpˈost#}
5      | #ˌadˌastˈaː# | *#adastˈa# | *#adəstˈa# | *#adɨstˈa# {GOLD: #adəstˈa#}
6      | #ˌadˌawɡˈaː# | *#adaɡˈa# | *#adəɡˈa# | *#adəɡˈa# {GOLD: #adəwɡˈa#}
7      | #ˌaddˌewˈeːrum# | *#adeˈeru# | *#adˈeɾu# | *#adˈer# {GOLD: #adevˈər#}
8      | #ˌadˌidˈipsum# | *#adedˈesu# | *#adedˈesu# | *#adedˈes# {GOLD: #adˈins#}
9      | #ˌadiˈuːnɡe# | *#ad͡ʒˈund͡ʒe# | *#ad͡ʒˈund͡ʒe# | *#aʒˈund͡ʒe# {GOLD: #aʒˈund͡ʒe#}
10     | #ˌadiˌuːtˈaː# | *#ad͡ʒutˈa# | *#ad͡ʒutˈa# | *#aʒutˈa# {GOLD: #aʒutˈa#}
11     | #ˌadiˌuːtˈoːrium# | *#ad͡ʒutˈord͡ʒu# | *#ad͡ʒutˈoɾd͡ʒu# | *#aʒutˈorʒ# {GOLD: #aʒutˈor#}
12     | #ˌadlˈatera# | *#adlˈatera# | *#adlˈateɾə# | *#adlˈaterə# {GOLD: #alˈəturj#}
13     | #ˌadlˈeɡe# | *#adlˈɛd͡ʒe# | *#adʎe̯ˈad͡ʒe# | *#adjˈed͡ʒe# {GOLD: #alˈed͡ʒe#}
14     | #ˌallˌentˈaː# | *#allentˈa# | *#alentˈa# | *#alintˈa# {GOLD: #alintˈa#}
15     | #ˌadlˌonɡˈaː# | *#adlonɡˈa# | *#adlunɡˈa# | *#adlunɡˈa# {GOLD: #alunɡˈa#}
16     | #ˌadmˌaɡˈiː# | *#admad͡ʒˈi# | *#adməd͡ʒˈi# | *#adməd͡ʒj̊# {GOLD: #aməd͡ʒˈi#}
17     | #ˌadmˌiːnakiˈaː# | *#adminasd͡ʒˈa# | *#admenəsd͡ʒˈa# | *#admɨnɨsd͡ʒˈa# {GOLD: #amenint͡sˈa#}
